state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260844_ky02,20260844,2,0,2,0,0,"[26300, 25000, 23700, 25000]","[25300, 24000, 22700, 27000]",3,0,1,1,2,3,4,1,4300,middle
g20260839_ky02,20260839,2,0,2,0,0,"[23000, 28100, 27000, 21900]","[22000, 27100, 30000, 20900]",2,0,1,0,3,2,1,4,9100,middle
g20260843_ky02,20260843,2,0,2,1,0,"[17100, 24900, 51000, 7000]","[19100, 23900, 50000, 6000]",3,0,2,1,3,2,1,4,44000,middle
g20260812_ky02,20260812,2,0,2,1,0,"[10900, 21100, 45600, 22400]","[12400, 19600, 44100, 23900]",3,0,2,0,4,3,1,2,31700,middle
g20260816_ky02,20260816,2,0,2,0,0,"[40700, 14900, 23000, 21400]","[40700, 15900, 23000, 20400]",3,0,0,0,1,4,2,3,24800,middle
g20260838_ky02,20260838,2,0,2,0,0,"[28500, 23600, 29900, 18000]","[28800, 20000, 29900, 21300]",3,0,0,0,2,4,1,3,9900,middle
g20260823_ky02,20260823,2,0,2,2,0,"[12400, 11300, 52000, 24300]","[13400, 12300, 49000, 25300]",3,0,3,0,3,4,1,2,36700,middle
g20260832_ky02,20260832,2,0,2,0,0,"[20200, 26500, 25500, 27800]","[21700, 25000, 24000, 29300]",3,0,1,0,4,2,3,1,7600,middle
g20260828_ky02,20260828,2,0,2,0,0,"[29300, 24000, 28200, 18500]","[29300, 24000, 26900, 19800]",3,0,0,0,1,3,2,4,9500,middle
g20260817_ky03,20260817,3,0,3,0,0,"[33500, 8800, 19900, 37800]","[29600, 4900, 16000, 49500]",3,0,1,0,2,4,3,1,44600,middle
g20260833_ky03,20260833,3,0,3,0,0,"[20700, 28900, 25400, 25000]","[23700, 27900, 24400, 24000]",0,1,1,0,4,1,2,3,4200,middle
g20260841_ky01,20260841,1,0,1,3,1,"[43500, 7500, 22500, 25500]","[48000, 4000, 22500, 25500]",2,0,0,0,1,4,3,2,44000,early
g20260824_ky01,20260824,1,0,1,0,0,"[63700, 21000, 3200, 12100]","[62700, 20000, 2200, 15100]",2,0,1,0,1,2,4,3,60500,early
g20260813_ky02,20260813,2,0,2,0,0,"[26800, 21000, 31200, 21000]","[21600, 27200, 31200, 20000]",3,0,0,0,3,2,1,4,11200,middle
g20260835_ky03,20260835,3,0,3,0,0,"[20400, 34300, 23600, 21700]","[20900, 35800, 22100, 20200]",0,1,1,1,3,1,2,4,15600,middle
g20260815_ky02,20260815,2,0,2,1,0,"[11300, 29300, 37400, 22000]","[16500, 24100, 37400, 22000]",3,0,0,0,4,2,1,3,20900,middle
g20260829_ky02,20260829,2,0,2,0,0,"[21500, 25200, 27500, 25800]","[16600, 25200, 27500, 30700]",3,0,0,0,4,3,2,1,14100,middle
g20260822_ky02,20260822,2,0,2,0,0,"[26500, 27700, 19300, 26500]","[26500, 15700, 31300, 26500]",2,0,1,0,2,4,1,3,15600,middle
g20260840_ky04,20260840,4,1,0,1,2,"[19000, 31000, 24200, 23800]","[19000, 49300, 24200, 7500]",1,1,0,0,3,1,2,4,41800,middle
g20260820_ky04,20260820,4,1,0,0,0,"[25500, 30400, 22500, 21600]","[32500, 28400, 19500, 19600]",0,1,1,0,1,2,4,3,13000,middle
g20260816_ky03,20260816,3,0,3,0,0,"[40700, 15900, 23000, 20400]","[39200, 15900, 23000, 21900]",3,0,1,0,1,4,2,3,23300,middle
g20260834_ky03,20260834,3,0,3,0,0,"[19700, 29400, 28200, 22700]","[19000, 28700, 27500, 24800]",3,0,1,0,4,1,2,3,9700,middle
